latitude,longitude,historic,start_date,ref:mhs,wikidata,name,heritage,mhs:inscription_date,wikipedia,left,right,top,bottom
49.565084,3.61646,building,C17,PA00115733,Q22966420,,3,1927-06-24 ,,3.615735,3.617185,49.565514,49.564654
49.045017,3.402843,tower,yes,PA00115592,Q3533021,Tour Balhan,3,1926-12-02 ,fr:Tour Balhan,3.4021179999999998,3.403568,49.045447,49.044587
49.3638,3.34734,building,C13,PA02000071,Q22995470,Maisons de source et aqueduc (également sur commune de Belleu),3,2007-05-07 ,fr:Belleu,3.346615,3.348065,49.36423,49.363369999999996
49.5645,3.616507,yes,,PA00115711,Q22966415,Chapelle Saint-Genebaud,3,1927-07-22 ,,3.615782,3.617232,49.564930000000004,49.56407
49.578919,3.603957,,C20,PA02000088,Q2385461,Rotonde et halle-atelier ferroviaires,3,2015-06-30 ,fr:Gare de Laon,3.6032319999999998,3.604682,49.579349,49.578489
44.794,6.9276,,C17,PA00080516,,Vieille Halle,,,,6.926875,6.928325,44.79443,44.793569999999995
48.8427,-0.894,,C17,PA00111814,Q22964270,Ancien Hôtel de ville,3,1987-07-21 ,,-0.894725,-0.893275,48.84313,48.84227
48.894861,-0.200139,,C13,PA00111317,Q21099776,Ancien Hôtel-Dieu,3,1927-05-31 ,fr:Hôtel-Dieu de Falaise,-0.20086400000000001,-0.199414,48.895291,48.894431
48.969529,-0.223522,stone,grooves,PA00111108,Q3394298,Polissoir,3,1976-08-24 ,fr:Polissoirs de Poussendre,-0.224247,-0.222797,48.969959,48.969099
49.15839,-0.384015,city_gate,C17,PA00111512,Q22964039,Porte du 17e siècle,3,1928-02-17 ,fr:Porte de Louvigny,-0.38473999999999997,-0.38329,49.15882,49.157959999999996
49.0325,-0.32472,archaeological_site,megalith,PA00111371,Q3387141,"Menhir dit La Pierre Tourneresse, situé dans le parc du château d'Outrelaize",2,1936-09-24 ,fr:Pierre Tourneresse,-0.325445,-0.32399500000000003,49.03293,49.03207
49.2532,0.1732,,C14,PA00111681,Q22964185,Ancien prieuré de Saint-Hymer,,,fr:Prieuré de Saint-Hymer,0.172475,0.173925,49.25363,49.25277
49.24361,-0.31278,archaeological_site,megalith,PA00111094,Q3387869,Mégalithe dit Les Pierres branlantes,2,1958-05-24 ,fr:Pierres branlantes,-0.313505,-0.312055,49.24404,49.243179999999995
49.28489,0.18337,,C17,PA00111606,Q20083809,Ancien hôtel de Brilly,3,1926-07-17 ,fr:Hôtel de ville de Pont-l'Évêque,0.182645,0.184095,49.28532,49.284459999999996
48.940903,-0.957778,wayside_cross,C17,PA00111519,Q18196033,Croix de chemin,3,1970-11-23 ,fr:Croix de chemin de Malloué,-0.958503,-0.957053,48.941333,48.940473
49.419583,0.233611,,,PA00111441,Q22964000,Puits situé dans la cour du Musée du Vieux Honfleur,2,1932-09-28 ,,0.232886,0.23433600000000002,49.420013000000004,49.419153
48.897763,-0.201117,yes,C13,PA00111315,Q20669840,Vestiges de l'enceinte fortifiée,,,fr:Remparts de Falaise,-0.201842,-0.200392,48.898193,48.897332999999996
49.125164,0.319293,,C16,PA00111251,Q22963844,Chambre de Charité,3,1971-10-29 ,fr:Chambre de Charité de Courtonne-la-Meurdrac,0.318568,0.32001799999999997,49.125594,49.124734
49.018719,-0.036047,building,C16,PA00111717,Q22964210,Maison de bois contiguë au manoir dit cour d'Elu,3,1927-01-19 ,fr:Cour l'Élu,-0.036772,-0.035322000000000006,49.019149,49.018288999999996
49.4204,0.2285,,C17,PA00111442,Q22964001,Puits situé à l'angle de la rue du Puits et de la rue Bucaille (anciennement rue de l'Homme-de-Bois),3,1930-10-11 ,"fr:Puits de l'angle de la rue du Puits et de la rue Bucaille, à Honfleur",0.227775,0.229225,49.42083,49.41997
48.8003,-0.8502,,,PA00111517,Q22964043,Pupitre en pierre,3,1928-09-19 ,,-0.8509249999999999,-0.849475,48.80073,48.79987
49.342361,0.101944,,C16,PA00111755,Q22964227,Ancien hôtel de l'Amirauté,3,1969-12-01 ,fr:Manoir du Grenier à sel,0.101219,0.10266900000000001,49.342791,49.341930999999995
49.109637,-0.423245,yes,C13,PA00132686,Q22969341,Chapelle Saint-Jean-Baptiste-du-Clos,3,1994-08-24 ,fr:Chapelle Saint-Jean-Baptiste-du-Clos,-0.42396999999999996,-0.42252,49.110067,49.109207
49.14524,0.22216,fountain,yes,PA00111474,Q15948814,Fontaine publique,2,1919-11-18 ,fr:Fontaine de La Ferronnays,0.221435,0.222885,49.14567,49.14481
49.02,-0.03278,,C11,PA00111713,Q2820701,Ancienne abbaye,,,fr:Abbaye de Saint-Pierre-sur-Dives,-0.03350499999999999,-0.032055,49.020430000000005,49.01957
49.09302,-0.352778,building,C16,PA00111345,Q22963911,Maison sise à la lisière ouest du bourg,3,1948-03-06 ,,-0.35350299999999996,-0.352053,49.093450000000004,49.09259
48.7912,-0.8741,archaeological_site,megalith,PA00111674,Q13518433,Dolmen de la Loge aux Sarrazins,2,1934-06-26 ,fr:Dolmen de la Loge aux Sarrazins,-0.874825,-0.873375,48.791630000000005,48.79077
49.020972,0.407778,,C15,PA00111581,Q20731610,Hospice,3,1927-01-19 ,fr:Hospice d'Orbec,0.407053,0.40850299999999995,49.021402,49.020542
48.892065,-0.190039,,C17,PA00111308,Q22963879,Ancienne auberge de La Romaine,3,1946-09-20 ,fr:Auberge de la Romaine,-0.19076400000000002,-0.189314,48.892495000000004,48.891635
49.1523,0.2118,,,PA00111665,Q22964174,Théâtre amphithéâtre ou amphithéâtre,2,1984-12-21 ,,0.21107499999999998,0.212525,49.15273,49.151869999999995
49.278291,-0.566332,,C11,PA00111668,Q3403036,"Restes du prieuré de Saint-Gabriel, puis Centre d'apprentissage horticole",2,1840 ,fr:Prieuré de Saint-Gabriel (Saint-Gabriel-Brécy),-0.5670569999999999,-0.565607,49.278721000000004,49.277861
49.30167,-0.45528,archaeological_site,megalith,PA00111635,Q3387768,Menhir dit Pierre debout,2,1934-02-21 ,fr:Pierre debout (Reviers),-0.456005,-0.45455500000000004,49.3021,49.30124
49.1362,0.1318,,C17,PA00111624,,Hostellerie Henri IV,,,fr:Hostellerie Henri IV,0.131075,0.132525,49.136630000000004,49.13577
49.279583,-0.688611,,C13,PA00111725,Q2820447,Ancien prieuré,2,1908-05-18 ,fr:Abbaye Saint-Vigor-le-Grand,-0.689336,-0.687886,49.280013000000004,49.279153
49.021667,0.406389,,C16,PA00111584,Q22964088,Ancien manoir Venelle-Dossin,,,fr:Manoir Venelle-Dossin,0.405664,0.407114,49.022097,49.021237
48.969339,-0.223716,stone,grooves,PA00111107,Q3394298,Polissoir,3,1976-08-24 ,fr:Polissoirs de Poussendre,-0.224441,-0.222991,48.969769,48.968909
49.28528,0.18274,,C17,PA00111603,Q22964104,Ancien couvent des Dominicains de l'Isle,3,1927-02-09 ,fr:Couvent des Dominicaines de l'Isle,0.182015,0.18346500000000002,49.28571,49.28485
49.118004,-0.393139,wayside_cross,C12,PA00111334,Q3003686,Croix romane,3,1932-10-04 ,fr:Croix romane de Feuguerolles-Bully,-0.393864,-0.39241400000000004,49.118434,49.117574
48.829583,-1.036667,,,PA00111722,Q22964212,Motte castrale,2,1983-03-11 ,fr:Motte castrale de Saint-Sever-Calvados,-1.037392,-1.035942,48.830013,48.829153
48.99667,-0.32056,archaeological_site,megalith,PA00111677,Q3305932,Menhir dit la Roche Piquée,2,1951-11-24 ,fr:Menhir de la Roche Piquée (Saint-Germain-le-Vasson),-0.321285,-0.31983500000000004,48.9971,48.99624
49.285162,0.182052,,C17,PA00111617,Q22964124,Siège de la Vicomté d'Auge,3,1971-10-29 ,fr:Siège de la vicomté d'Auge,0.181327,0.182777,49.285592,49.284732
49.2856,0.18217,,C19,PA14000006,Q22995734,Ancienne prison,3,1997-12-05 ,fr:Prison de Pont-l'Évêque,0.181445,0.182895,49.286030000000004,49.28517
48.949639,-0.551306,archaeological_site,megalith,PA00111273,Q2894732,Menhir dit La Belle Roche,2,1954-05-19 ,fr:Belle Roche,-0.5520309999999999,-0.550581,48.950069,48.949208999999996
49.2112,-0.5391,wayside_cross,C17,PA00111631,Q22964139,Croix,3,1932-10-04 ,fr:Croix du cimetière de Putot-en-Bessin,-0.539825,-0.538375,49.21163,49.21077
48.928361,-0.432917,archaeological_site,megalith,PA00111705,Q3332773,Mégalithe,3,1954-05-19 ,fr:Mégalithe du Pré-du-Vivret,-0.43364199999999997,-0.432192,48.928791000000004,48.927931
49.419491,0.233808,castle,manor,PA00111439,Q22963996,Manoir Vigneron,2,1932-09-28 ,,0.23308299999999998,0.234533,49.419921,49.419061
49.018637,-0.036041,castle,manor,PA00111718,Q19945464,Manoir dit Cour d'Elu,3,1927-01-19 ,fr:Cour l'Élu,-0.03676599999999999,-0.035316,49.019067,49.018207
49.213524,-0.341889,yes,C13,PA14000045,Q22995775,Chapelle Saint-Vincent,3,2004-10-29 ,fr:Chapelle Saint-Vincent d'Hérouville-Saint-Clair,-0.342614,-0.341164,49.213954,49.213094
49.28521,0.18253,,C19,PA14000007,Q22995735,Tribunal,3,1997-12-05 ,fr:Tribunal de Pont-l'Évêque,0.181805,0.183255,49.28564,49.28478
49.419583,0.233472,citywalls,,PA00111443,Q22964002,Rempart de ville,2,1932-09-28 ,,0.232747,0.23419700000000002,49.420013000000004,49.419153
45.9421,-0.5214,building,C18,PA00105182,Q22955651,Hôtel de Hausen,3,1942-02-13 ,,-0.522125,-0.520675,45.942530000000005,45.94167
46.158401,-1.153771,building,C16,PA00104901,Q22955154,Maison Pillaud,2,1923-10-20 ,,-1.1544960000000002,-1.153046,46.158831,46.157970999999996
45.8285,-0.8757,,C15,PA00104850,Q22955082,Anciennes fortifications,3,1926-06-16 ,,-0.876425,-0.8749750000000001,45.82893,45.82807
46.1275,-1.0781,building,C17,PA00104774,Q22955040,Maison dite Le Bois Not,3,1973-07-02 ,,-1.0788250000000001,-1.077375,46.12793,46.127069999999996
46.01183,-1.175,building,,PA00104752,Q22954976,,3,1931-05-05 ,,-1.1757250000000001,-1.174275,46.012260000000005,46.0114
46.159366,-1.153607,building,C18,PA00105117,Q22955586,,3,1928-09-29 ,,-1.1543320000000001,-1.152882,46.159796,46.158936
45.74583,-0.63333,building,C16,PA00105256,Q22955722,Maison de l'Echevinage,3,1939-02-09 ,fr:Musée de l'Échevinage de Saintes,-0.6340549999999999,-0.632605,45.74626,45.7454
46.0783,-0.4114,,,PA00104666,Q22954807,Restes du camp romain,3,1945-01-25 ,,-0.41212499999999996,-0.410675,46.07873,46.07787
46.161951,-1.149914,building,,PA00105123,Q22955595,,3,1931-10-07 ,,-1.1506390000000002,-1.149189,46.162381,46.161521
45.94059,-0.969356,place_of_worship,christian,PA17000103,Q29582757,Église Notre Dame du Faubourg,3,2015-08-24 ,,-0.970081,-0.968631,45.94102,45.94016
45.6988,-1.2102,,C20,PA17000043,Q22995939,Batterie d'artillerie Rest Adler Cosel (le Requin),3,2002-07-24 ,,-1.210925,-1.2094749999999999,45.69923,45.69837
46.160296,-1.153551,building,C16,PA00104900,Q22955153,Maison dite Maison au Chien,3,1928-06-14 ,,-1.154276,-1.152826,46.160726000000004,46.159866
46.159403,-1.153575,building,C17,PA00105116,Q22955584,,3,1928-09-29 ,,-1.1543,-1.15285,46.159833,46.158972999999996
46.159693,-1.153484,building,C18,PA00105110,Q22955573,,3,1928-09-29 ,,-1.154209,-1.1527589999999999,46.160123,46.159262999999996
46.159028,-1.153704,building,,PA00105118,Q22955587,,3,1928-09-29 ,,-1.1544290000000001,-1.152979,46.159458,46.158598
46.160192,-1.153589,building,C18,PA00105101,Q22955561,,3,1928-09-29 ,,-1.154314,-1.1528639999999999,46.160622000000004,46.159762
45.8571,-1.1743,fort,C17,PA00104630,Q2916553,Fort du Chapus,2,1929-06-14 ,fr:Fort Louvois,-1.175025,-1.1735749999999998,45.857530000000004,45.85667
45.6838,-0.8878,,C1,PA00105225,Q22955702,Camp dit de César,2,1886-07-12 ,,-0.888525,-0.8870750000000001,45.68423,45.68337
45.77255,-0.422556,castle,C16,PA00104636,Q22954788,,3,1925-02-23 ,,-0.42328099999999996,-0.421831,45.772980000000004,45.77212
45.936948,-0.957084,building,C17,PA17000104,Q2970400,Hôtel de la Marine,3,2015-10-08 ,fr:Château de Rochefort-sur-Charente,-0.957809,-0.9563590000000001,45.937378,45.936518
46.2079,-1.1621,,C16,PA00104830,Q22955068,Ancien domaine du Portail,2,1920-08-05 ,,-1.162825,-1.1613749999999998,46.208330000000004,46.20747
45.943165,-0.963715,,C18,PA00104867,Q3145308,Hôpital maritime,3,1965-09-14 ,fr:Hôpital maritime de Rochefort,-0.96444,-0.96299,45.943595,45.942735
46.160194,-1.150676,building,C16,PA00105000,Q22955384,,2,1923-10-27 ,,-1.1514010000000001,-1.149951,46.160624,46.159763999999996
46.158935,-1.153736,building,C17,PA00105120,Q22955592,,3,1928-09-29 ,,-1.1544610000000002,-1.153011,46.159365,46.158505
45.9435,-0.5207,,C16,PA00105181,Q22955650,Ancien hôtel de l'Echevinage,3,1925-02-23 ,,-0.521425,-0.5199750000000001,45.94393,45.94307
45.9915,-0.5986,,C16,PA00104781,Q22955045,Logis des Varennes,3,1948-11-29 ,,-0.599325,-0.597875,45.99193,45.99107
45.775,-0.4569,yes,C12,PA00105160,Q333915,Vestiges de l'ancienne abbaye de Fontdouce,2,1986-12-16 ,fr:Abbaye de Fontdouce,-0.45762499999999995,-0.456175,45.77543,45.77457
45.925,-0.5506,castle,C13,PA00104799,Q2968460,Château de Beaufief,3,1973-10-04 ,fr:Château de Beaufief,-0.551325,-0.549875,45.92543,45.924569999999996
46.159802,-1.153479,building,C17,PA00105107,Q22955568,,3,1928-09-29 ,,-1.154204,-1.1527539999999998,46.160232,46.159372
45.74306,-0.63389,building,C18,PA00105254,Q22955719,"Hôtel Monconseil, actuellement musée d'art régional",3,2009-07-17 ,fr:Musée Dupuy-Mestreau,-0.6346149999999999,-0.633165,45.74349,45.74263
46.155877,-1.15518,citywalls,C17,PA00104883,Q22955106,Fortifications maritimes,,,fr:Tour de la Chaîne,-1.1559050000000002,-1.154455,46.156307,46.155446999999995
46.158386,-1.152942,building,C16,PA00104995,Q22955365,Maison Léon,3,1926-10-28 ,,-1.153667,-1.1522169999999998,46.158816,46.157956
45.944,-1.3056,building,C18,PA00105217,Q22955691,,3,1969-10-22 ,,-1.3063250000000002,-1.304875,45.944430000000004,45.94357
45.7752,-0.9623,,C17,PA00105238,Q22955715,Domaine de la Mauvignière,3,1988-12-21 ,,-0.963025,-0.9615750000000001,45.77563,45.77477
46.0353,-0.7005,yes,C12,PA00105195,Q22955672,Ruines de l'église Saint-Laurent,3,1948-12-06 ,,-0.701225,-0.699775,46.03573,46.03487
45.828,-0.8753,,C14,PA00104851,Q22955083,Ancien prieuré Saint-Pierre,3,1987-03-06 ,,-0.8760249999999999,-0.874575,45.828430000000004,45.82757
45.7464,-0.6322,,,PA00105264,Q22955728,Terrain sur lequel est édifié l'immeuble Guinguenaud,2,1937-09-14 ,,-0.632925,-0.631475,45.74683,45.74597
45.901,-1.2988,yes,C12,PA00104670,Q22954809,Chapelle Saint-Jean-Baptiste de la Perroche,3,1988-04-29 ,,-1.299525,-1.2980749999999999,45.901430000000005,45.90057
45.74583,-0.64389,,C1,PA00105246,Q2844420,Restes de l'amphithéâtre gallo-romain,2,1840 ,fr:Amphithéâtre de Saintes,-0.6446149999999999,-0.643165,45.74626,45.7454
45.86595,-1.067681,,C17,PA00104710,Q22954829,Poudrières et casernes anciennes,3,1949-08-09 ,,-1.0684060000000002,-1.066956,45.86638,45.86552
45.7611,-0.5403,,C18,PA17000086,Q22995975,Four de potier dit  Varoqueaux ,3,2011-05-26 ,,-0.541025,-0.539575,45.76153,45.76067
46.2287,-1.0154,,,PA00105308,Q22955760,Motte castrale du Breuil-Bertin,3,1989-04-19 ,,-1.0161250000000002,-1.014675,46.229130000000005,46.22827
45.74639,-0.63222,building,C17,PA00105258,Q22955723,Maison dite du Présidial,2,1919-06-07 ,fr:Musée du Présidial de Saintes,-0.632945,-0.631495,45.74682,45.74596
45.962855,-0.983374,,C19,PA17000106,,Poudrière extérieure,3,2015-10-02 ,,-0.984099,-0.982649,45.963285,45.962424999999996
46.2037,-1.365,,C17,PA00105207,Q22955686,Demeure,3,1986-10-08 ,,-1.365725,-1.364275,46.20413,46.203269999999996
45.6979,-0.6254,,,PA00105284,Q22955739,Ruines romaines,2,1912-05-02 ,fr:Ruines romaines de Thénac,-0.6261249999999999,-0.624675,45.69833,45.697469999999996
45.9024,-0.9199,place_of_worship,christian,PA17000008,Q15953556,Église Notre-Dame de Monthérault,3,1996-10-28 ,fr:Église Notre-Dame de Monthérault,-0.920625,-0.9191750000000001,45.90283,45.90197
46.102877,-0.744563,,C12,PA17000067,Q22995961,Aumônerie Saint-Gilles ou chapelle des Minimes,3,2004-07-23 ,,-0.745288,-0.743838,46.103307,46.102447
45.7455,-0.6422,,,PA00105262,Q22955725,Terrain appartenant à M. Pitard situé en face de l'amphithéâtre,2,1932-03-13 ,,-0.642925,-0.641475,45.74593,45.74507
45.7011,-0.9054,archaeological_site,megalith,PA00105157,Q20971029,Dolmen effondré appelé La Pierre Levée de Berthe-grille,2,1937-02-04 ,fr:Dolmen effondré appelé la Pierre Levée de Berthe-grille,-0.906125,-0.904675,45.70153,45.700669999999995
46.165735,-0.859622,yes,C12,PA00104629,Q22954783,Ruines de l'église Saint-Laurent,2,1911-01-19 ,,-0.860347,-0.858897,46.166165,46.165305
45.7173,-0.8781,,C12,PA00105156,Q334129,Ancienne abbaye Notre-Dame,,,fr:Abbaye de Sablonceaux,-0.878825,-0.877375,45.71773,45.71687
45.9443,-0.5217,fountain,yes,PA00105180,Q22955648,Fontaine du Pilori,2,1892-04-25 ,,-0.522425,-0.5209750000000001,45.94473,45.94387
45.9351,-0.9579,,C19,PA00104861,Q17537921,Arsenal,3,1928-06-11 ,fr:Arsenal de Rochefort,-0.958625,-0.957175,45.93553,45.93467
45.6961,-0.7114,,C18,PA00105319,Q2140365,Logis de Vallade,3,1992-07-03 ,fr:Logis de Vallade,-0.712125,-0.7106750000000001,45.69653,45.69567
45.8011,-1.0427,building,C16,PA00105193,Q22955670,,3,1925-02-23 ,,-1.043425,-1.0419749999999999,45.80153,45.80067
46.160038,-1.153632,building,C17,PA00105105,Q22955566,,3,1928-09-29 ,,-1.154357,-1.152907,46.160468,46.159608
45.9439,-0.5211,building,C16,PA00105183,Q22955652,,3,1943-08-26 ,,-0.521825,-0.520375,45.94433,45.94347
46.149891,-1.151936,,C20,PA17000051,Q22995948,Slip way,2,2002-12-13 ,,-1.1526610000000002,-1.151211,46.150321,46.149460999999995
46.2022,-1.3685,building,C18,PA00105209,Q22955687,Hôtel des Cadets,3,1965-05-19 ,,-1.3692250000000001,-1.367775,46.20263,46.201769999999996
46.159962,-1.153409,building,C17,PA00105102,Q22955562,,3,1928-09-29 ,,-1.154134,-1.1526839999999998,46.160392,46.159532
46.159772,-1.153487,building,C17,PA00105108,Q22955569,,3,1928-09-29 ,,-1.154212,-1.1527619999999998,46.160202,46.159341999999995
46.1549,-1.1533,,,PA00105306,Q22955757,Bastion du Gabut et rempart,3,1990-02-26 ,,-1.154025,-1.152575,46.15533,46.154469999999996
45.9357,-0.9575,,C17,PA00104873,Q22955097,Formes de radoub de l'arsenal,,,,-0.958225,-0.956775,45.93613,45.935269999999996
46.16004,-1.153377,building,C17,PA00105100,Q22955560,,3,1928-09-29 ,,-1.1541020000000002,-1.152652,46.160470000000004,46.15961
46.1339,-1.2736,lighthouse,yes,PA17000088,Q3378202,Phare de Chauveau,3,2011-04-15 ,fr:Phare de Chauveau,-1.2743250000000002,-1.272875,46.13433,46.133469999999996
46.19,-1.0257,,,PA00105310,Q22955764,Motte castrale de la Roche-Bertin,3,1989-04-19 ,,-1.0264250000000001,-1.024975,46.19043,46.189569999999996
45.4694,-0.4786,,C18,PA17000021,Q2969758,Domaine de Lussac,3,1999-12-21 ,"fr:Château de Lussac (Lussac, Charente-Maritime)",-0.479325,-0.47787500000000005,45.46983,45.46897
46.159504,-1.153538,building,C17,PA00105114,Q22955579,,3,1928-09-29 ,,-1.154263,-1.1528129999999999,46.159934,46.159074
46.1568,-1.1544,,C17,PA00104879,Q22955103,"Ancienne église des Carmes, marché aux poissons",3,1925-02-23 ,,-1.1551250000000002,-1.153675,46.15723,46.156369999999995
45.7449,-0.6444,,,PA00105263,Q22955726,"Terrain appartenant à M. Robin, limitrophe de l'amphithéâtre",2,1933-10-23 ,,-0.645125,-0.643675,45.74533,45.74447
45.9626,-1.3947,,C15,PA17000099,Q22995982,Ecluses à poissons des Sables-Vignier,3,2012-06-14 ,,-1.3954250000000001,-1.393975,45.96303,45.96217
45.6981,-0.6249,,,PA00105311,Q22955765,Théâtre gallo-romain,2,1990-12-18 ,,-0.625625,-0.624175,45.69853,45.697669999999995
46.15882,-1.151148,building,C15,PA00104921,Q22955176,,3,1931-01-12 ,,-1.1518730000000001,-1.150423,46.15925,46.15839
46.162987,-1.152374,building,,PA00104943,Q22955241,,3,1928-06-14 ,,-1.153099,-1.151649,46.163417,46.162557
46.160194,-1.153586,building,C18,PA00104996,Q22955366,,3,1928-09-29 ,,-1.154311,-1.152861,46.160624,46.159763999999996
46.1601,-1.148,,C19,PA00104874,Q22955099,Bâtiment dit Les Dames Blanches,3,1980-08-05 ,,-1.148725,-1.1472749999999998,46.16053,46.15967
45.578377,-0.548724,building,C18,PA00104847,Q22955078,Hôtel Kervilio-Broussard,3,1944-06-27 ,,-0.549449,-0.547999,45.578807000000005,45.577947
46.2031,-1.3672,,C16,PA00105205,,"Ancienne abbaye, dénommée aussi ancien château des Seigneurs de Rhé ou ancien hôtel de Clerjotte",2,1929-04-09 ,fr:Musée Ernest-Cognacq,-1.367925,-1.3664749999999999,46.20353,46.20267
45.9439,-0.5212,building,C16,PA00105184,Q22955653,,3,1943-08-26 ,,-0.521925,-0.520475,45.94433,45.94347
45.8023,-1.0391,building,C15,PA00105194,Q22955671,Maison Hervé,3,1925-02-23 ,,-1.039825,-1.0383749999999998,45.802730000000004,45.80187
46.159117,-1.153913,building,C17,PA00105112,Q22955576,,3,1928-09-29 ,,-1.154638,-1.1531879999999999,46.159547,46.158687
45.745417,-0.630917,citywalls,C 4,PA00105261,Q3127289,Rempart gallo-romain,2,1977-09-01 ,,-0.6316419999999999,-0.630192,45.745847000000005,45.744987
45.9701,-1.2363,,C19,PA17000066,Q22995960,La Maison Heureuse,3,2004-07-23 ,,-1.237025,-1.2355749999999999,45.970530000000004,45.96967
46.158991,-1.153731,building,C17,PA00105119,Q22955590,,3,1928-09-29 ,,-1.1544560000000001,-1.153006,46.159421,46.158561
46.1605,-1.1541,building,,PA00104997,Q22955371,,3,1928-09-29 ,,-1.154825,-1.1533749999999998,46.16093,46.16007
